id;question_set;question;answer;description;tag;score
1;37454;79654;Fish multi-byte Savings Account;Computer Practical Fresh Pants;Metal deposit;5641
2;96990;72199;Implementation Electronics Officer;methodology Albania;Home Namibia;39986
3;13949;4666;Coordinator;Common;Savings Account syndicate Planner;46676
4;4645;85994;Yuan Renminbi Centers;Factors;South Dakota envisioneer Music;23089
5;68423;24102;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;20794
6;54671;56770;Industrial;connect Markets Chief;capacitor archive;57044
7;19598;52083;Tactics;scale interactive generating;Specialist Home Loan Account;27599
8;14092;29627;Car Industrial deliverables;orange Books;magenta monitor 1080p;60595
9;7404;92630;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment;59129
10;63755;27472;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;43933
